Nom                                                                          | Id                             | Services web | Styles                                                                                                
100//HRDPS.CONTINENTAL.PRES - Température de l'air à 100.0 mb                | HRDPS.CONTINENTAL.PRES_HR.100  | WMS, WCS     | DEFAULT: HUMIDITYREL-LINEAR, HUMIDITYREL                                                              
50//HRDPS.CONTINENTAL.PRES - Température de l'air à 50.0 mb                  | HRDPS.CONTINENTAL.PRES_HR.50   | WMS, WCS     | DEFAULT: HUMIDITYREL-LINEAR, HUMIDITYREL                                                              
1015//HRDPS.CONTINENTAL.PRES - Humidité spécifique à 1015.0 mb               | HRDPS.CONTINENTAL.PRES_HU.1015 | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
1000//HRDPS.CONTINENTAL.PRES - Humidité spécifique à 1000.0 mb               | HRDPS.CONTINENTAL.PRES_HU.1000 | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
985//HRDPS.CONTINENTAL.PRES - Humidité spécifique à 985.0 mb                 | HRDPS.CONTINENTAL.PRES_HU.985  | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
970//HRDPS.CONTINENTAL.PRES - Humidité spécifique à 970.0 mb                 | HRDPS.CONTINENTAL.PRES_HU.970  | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
950//HRDPS.CONTINENTAL.PRES - Humidité spécifique à 950.0 mb                 | HRDPS.CONTINENTAL.PRES_HU.950  | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
925//HRDPS.CONTINENTAL.PRES - Humidité spécifique à 925.0 mb                 | HRDPS.CONTINENTAL.PRES_HU.925  | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
900//HRDPS.CONTINENTAL.PRES - Humidité spécifique à 900.0 mb                 | HRDPS.CONTINENTAL.PRES_HU.900  | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
875//HRDPS.CONTINENTAL.PRES - Humidité spécifique à 875.0 mb                 | HRDPS.CONTINENTAL.PRES_HU.875  | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
850//HRDPS.CONTINENTAL.PRES - Humidité spécifique à 850.0 mb                 | HRDPS.CONTINENTAL.PRES_HU.850  | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
800//HRDPS.CONTINENTAL.PRES - Humidité spécifique à 800.0 mb                 | HRDPS.CONTINENTAL.PRES_HU.800  | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
750//HRDPS.CONTINENTAL.PRES - Humidité spécifique à 750.0 mb                 | HRDPS.CONTINENTAL.PRES_HU.750  | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
700//HRDPS.CONTINENTAL.PRES - Humidité spécifique à 700.0 mb                 | HRDPS.CONTINENTAL.PRES_HU.700  | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
650//HRDPS.CONTINENTAL.PRES - Humidité spécifique à 650.0 mb                 | HRDPS.CONTINENTAL.PRES_HU.650  | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
600//HRDPS.CONTINENTAL.PRES - Humidité spécifique à 600.0 mb                 | HRDPS.CONTINENTAL.PRES_HU.600  | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
550//HRDPS.CONTINENTAL.PRES - Humidité spécifique à 550.0 mb                 | HRDPS.CONTINENTAL.PRES_HU.550  | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
500//HRDPS.CONTINENTAL.PRES - Humidité spécifique à 500.0 mb                 | HRDPS.CONTINENTAL.PRES_HU.500  | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
450//HRDPS.CONTINENTAL.PRES - Humidité spécifique à 450.0 mb                 | HRDPS.CONTINENTAL.PRES_HU.450  | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
400//HRDPS.CONTINENTAL.PRES - Humidité spécifique à 400.0 mb                 | HRDPS.CONTINENTAL.PRES_HU.400  | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
350//HRDPS.CONTINENTAL.PRES - Humidité spécifique à 350.0 mb                 | HRDPS.CONTINENTAL.PRES_HU.350  | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
300//HRDPS.CONTINENTAL.PRES - Humidité spécifique à 300.0 mb                 | HRDPS.CONTINENTAL.PRES_HU.300  | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
275//HRDPS.CONTINENTAL.PRES - Humidité spécifique à 275.0 mb                 | HRDPS.CONTINENTAL.PRES_HU.275  | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
250//HRDPS.CONTINENTAL.PRES - Humidité spécifique à 250.0 mb                 | HRDPS.CONTINENTAL.PRES_HU.250  | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
225//HRDPS.CONTINENTAL.PRES - Humidité spécifique à 225.0 mb                 | HRDPS.CONTINENTAL.PRES_HU.225  | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
200//HRDPS.CONTINENTAL.PRES - Humidité spécifique à 200.0 mb                 | HRDPS.CONTINENTAL.PRES_HU.200  | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
175//HRDPS.CONTINENTAL.PRES - Humidité spécifique à 175.0 mb                 | HRDPS.CONTINENTAL.PRES_HU.175  | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
150//HRDPS.CONTINENTAL.PRES - Humidité spécifique à 150.0 mb                 | HRDPS.CONTINENTAL.PRES_HU.150  | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
100//HRDPS.CONTINENTAL.PRES - Humidité spécifique à 100.0 mb                 | HRDPS.CONTINENTAL.PRES_HU.100  | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
50//HRDPS.CONTINENTAL.PRES - Humidité spécifique à 50.0 mb                   | HRDPS.CONTINENTAL.PRES_HU.50   | WMS, WCS     | DEFAULT: HUMIDITYSPEC                                                                                 
1015//HRDPS.CONTINENTAL.PRES - Température de l'air à 1015.0 mb              | HRDPS.CONTINENTAL.PRES_TT.1015 | WMS, WCS     | DEFAULT: TEMPWINTER-LINEAR, TEMPERATURE, TEMPERATURE-LINEAR, TEMPSUMMER, TEMPSUMMER-LINEAR, TEMPWINTER
1000//HRDPS.CONTINENTAL.PRES - Température de l'air à 1000.0 mb              | HRDPS.CONTINENTAL.PRES_TT.1000 | WMS, WCS     | DEFAULT: TEMPWINTER-LINEAR, TEMPERATURE, TEMPERATURE-LINEAR, TEMPSUMMER, TEMPSUMMER-LINEAR, TEMPWINTER
985//HRDPS.CONTINENTAL.PRES - Température de l'air à 985.0 mb                | HRDPS.CONTINENTAL.PRES_TT.985  | WMS, WCS     | DEFAULT: TEMPWINTER-LINEAR, TEMPERATURE, TEMPERATURE-LINEAR, TEMPSUMMER, TEMPSUMMER-LINEAR, TEMPWINTER
970//HRDPS.CONTINENTAL.PRES - Température de l'air à 970.0 mb                | HRDPS.CONTINENTAL.PRES_TT.970  | WMS, WCS     | DEFAULT: TEMPWINTER-LINEAR, TEMPERATURE, TEMPERATURE-LINEAR, TEMPSUMMER, TEMPSUMMER-LINEAR, TEMPWINTER
950//HRDPS.CONTINENTAL.PRES - Température de l'air à 950.0 mb                | HRDPS.CONTINENTAL.PRES_TT.950  | WMS, WCS     | DEFAULT: TEMPWINTER-LINEAR, TEMPERATURE, TEMPERATURE-LINEAR, TEMPSUMMER, TEMPSUMMER-LINEAR, TEMPWINTER
